No,Name,Genre,RMS,LUFS,LRA,N peaks,DR,Crest,LR coeff,MS coeff
540,../master-dynamics/audio/540.mp3,reggaeton,0.30204153060913086,-7.3454461097717285,2.34320068359375,379,17.553383,4.837373733520508,-0.005548357963562012,0.30914134802798726
44,../master-dynamics/audio/44.mp3,classical,0.02899256907403469,-26.39893913269043,9.634468078613281,0,35.013412,9.915193557739258,-0.0027344338595867157,0.43183743176493283
613,../master-dynamics/audio/613.mp3,soul,0.25711748003959656,-9.035284996032715,4.512864589691162,0,14.393422,5.015666961669922,0.0031259357929229736,0.20802998575743037
247,../master-dynamics/audio/247.mp3,hip-hop,0.2261347621679306,-9.67810344696045,2.521686553955078,1817,12.655408,7.296311855316162,0.0006799101829528809,0.22427741335719462
110,../master-dynamics/audio/110.mp3,jazz,0.32184335589408875,-7.630418300628662,1.1832871437072754,87,4.005371,3.9970145225524902,-0.0013355910778045654,0.2142849000989565
331,../master-dynamics/audio/331.mp3,electronic,0.3222528398036957,-7.7172393798828125,6.4845967292785645,202,11.384728,4.327795505523682,0.0008150339126586914,0.28965600901307076
257,../master-dynamics/audio/257.mp3,metal,0.2784285545349121,-8.488157272338867,1.5761628150939941,1163,5.1663227,4.8860602378845215,0.036475926637649536,0.20232610372722168
325,../master-dynamics/audio/325.mp3,country,0.12708494067192078,-13.527302742004395,3.299560546875,0,13.446581,9.470186233520508,0.011381417512893677,0.46654437894892936
337,../master-dynamics/audio/337.mp3,electronic,0.33806371688842773,-8.539955139160156,2.0243396759033203,839,4.3305397,4.382194519042969,0.017249643802642822,0.22067053840685227
365,../master-dynamics/audio/365.mp3,electronic,0.26937976479530334,-9.809331893920898,0.5107583999633789,23,2.863801,4.720464706420898,-0.008230417966842651,0.30791622540879376
119,../master-dynamics/audio/119.mp3,jazz,0.16936761140823364,-12.898341178894043,3.4922943115234375,0,17.28986,7.244101047515869,-0.019411548972129822,0.15121901655191414
296,../master-dynamics/audio/296.mp3,country,0.30295249819755554,-6.4649152755737305,1.988443374633789,43,8.038369,4.545658588409424,-0.0006704628467559814,0.33536701620137793
264,../master-dynamics/audio/264.mp3,metal,0.27129387855529785,-8.206708908081055,5.237874507904053,37,9.706356,4.926572322845459,-0.004205882549285889,0.3021626021417963
